No,공고제목,회사이름,회사위치,링크
1,파이썬 ( python) 개발 경력자 모집,(주)테드,서울>강서구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408220004644&src=etc*search
2,"코딩 학원 전임 강사 모집합니다. (파이썬, c언어)",코딩하는아이들컴퓨터학원,서울>은평구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2210180003731&src=etc*search
3,[Lighthouse] Backend 파이썬 개발자 채용,삼정회계법인,서울>강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270001264&src=etc*search
4,"백엔드 풀스택 웹개발자 부트캠프 (자바, 파이썬, AI 챗봇) 연수생 모집",(주) 이젠아카데미,서울>강남구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408210004846&src=etc*search
5,"[아이티윌부산] AI(파이썬) 활용 백엔드(자바, 스프링) 개발자 과정 모집 (8, 9월)",(주)아이티윌 부산지점,부산>부산진구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407190002731&src=etc*search
6,개발자 모집 - Python 서버 프로그램 개발,(주)위존,정규직외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2201100005848&src=etc*search
7,[제주]시스템 개발(Python) 계약직/정규직 모집,(주)네피리티,정규직외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270001012&src=etc*search
8,[일자리매칭플랫폼] Python 개발자 채용,(주)버블콘,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408070004863&src=etc*search
9,[일자리매칭플랫폼] Python Back-end Engineer,올거나이즈코리아 주식회사,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407250004247&src=etc*search
10,Python 데이터 처리 및 분석 프로그램 개발자 모집,디지키,계약직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2406210000354&src=etc*search
11,[AOX Korea] Python / C++ Engineer(신입),유한회사 에이오엑스코리아,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407260005573&src=etc*search
12,[일자리매칭플랫폼] 데이터 엔지니어 (Python) 채용,(주)핀다,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407220001580&src=etc*search
13,백엔드 엔지니어 (Python),(주)버핏서울,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407310000342&src=etc*search
14,(주)퍼브 SK AI 개발프로젝트 Python 개발자 프리랜서 채용,(주)퍼브,계약직외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408210002650&src=etc*search
15,[코리아교육그룹]Python / JAVA / C언어/ C# / C++ 강사 모집중,(주)에스씨에이아카데미혜화,정규직외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2112200003928&src=etc*search
16,파이프레이저 절단사원 모집,준텍레이저,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408190000965&src=etc*search
17,"백엔드 개발자 Node.js, Python/5년 이상",(주)딥세일즈,정규직외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2403200000195&src=etc*search
18,가든파이브웍스 기계기사 채용,가든파이브웍스(주),계약직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408270002214&src=etc*search
19,130파이 보링기 경력사원 모집,주식회사 엠스타,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408260002119&src=etc*search
20,사단법인 파이나다운청년들 매니저 채용,(사)파이나다운청년들,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2404020000319&src=etc*search
21,[파이빅스] 제품디자인 경력직 채용,(주)파이빅스,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2408230004340&src=etc*search
22,계룡산 호두파이 라벨로에서 직원모집합니다.,계룡산호두파이 라벨로,정규직외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2301070000040&src=etc*search
23,(주)파이온텍  마케팅 상품기획 경력직 채용,(주) 파이온텍,정규직,https://job.incruit.com/jobdb_info/jobpost.asp?job=2407290000262&src=etc*search
